search_term,sp500no,Company Name,link
CSX,116,CSX Corporation,https://www.youtube.com/c/CSXOfficial
Cintas,117,Cintas Corporation,https://www.youtube.com/user/cintas
Catalent,118,Catalent Inc,https://www.youtube.com/user/catalent
Cognizant Technology Solutions,119,Cognizant Technology Solutions Corporation Class A,https://www.youtube.com/c/cognizant
Corteva,120,Corteva Inc,https://www.youtube.com/c/corteva
Citrix Systems,121,"Citrix Systems, Inc.",https://www.youtube.com/c/citrix
CVS Health,122,CVS Health Corporation,https://www.youtube.com/c/CVSHealth
Chevron,123,Chevron Corporation,https://www.youtube.com/user/Chevron
Caesars Entertainment,124,Caesars Entertainment Inc,https://www.youtube.com/channel/UCmFb7QfnP-R13tvQaqea_SQ
Dominion Energy,125,Dominion Energy Inc,https://www.youtube.com/user/DomCorpComm
Delta,126,"Delta Air Lines, Inc.",https://www.youtube.com/c/Delta
DuPont,127,"DuPont de Nemours, Inc.",https://www.youtube.com/c/dupont
Deere,128,Deere & Company,https://www.youtube.com/user/JohnDeere
Dollar General,130,Dollar General Corporation,https://www.youtube.com/user/DOLLARGENERAL
D.R. Horton,132,"D.R. Horton, Inc.",https://www.youtube.com/c/drhorton
Danaher,133,Danaher Corporation,https://www.youtube.com/user/danahercorporation
Walt Disney,134,Walt Disney Company,https://www.youtube.com/c/Disney/videos
Discovery,135,"Discovery, Inc. Class A",https://www.youtube.com/c/DiscoveryInc
DISH Network,136,DISH Network Corporation Class A,https://www.youtube.com/user/dish
Dollar Tree,138,"Dollar Tree, Inc.",https://www.youtube.com/c/dollartree
Dover,139,Dover Corporation,https://www.youtube.com/user/DoverCorporation
Dow,140,"Dow, Inc.",https://www.youtube.com/user/DowChemicalCompany
Domino's Pizza,141,"Domino's Pizza, Inc.",https://www.youtube.com/c/dominos
DTE Energy,144,DTE Energy Company,https://www.youtube.com/user/DTEEnergyCompany
Duke Energy,145,Duke Energy Corporation,https://www.youtube.com/user/DukeEnergyMediaCtr
DaVita,146,DaVita Inc.,https://www.youtube.com/user/DaVitaKidneyCare
DXC Technology,148,DXC Technology Co.,https://www.youtube.com/channel/UCJn4Oo896fQL9yEyUV49ftw
DexCom,149,"DexCom, Inc.",https://www.youtube.com/user/dexcomCGM
Electronic Arts,150,Electronic Arts Inc.,https://www.youtube.com/c/EAvideos
eBay,151,eBay Inc.,https://www.youtube.com/c/EBAY
Ecolab,152,Ecolab Inc.,https://www.youtube.com/user/everywhereitmatters
Consolidated Edison,153,"Consolidated Edison, Inc.",https://www.youtube.com/user/ConEdisonNY
Edison International,155,Edison International,https://www.youtube.com/user/SCE
estee lauder,156,Estee Lauder Companies Inc. Class A,https://www.youtube.com/channel/UCxwZnmLwSvrp1RjHNNeAeFQ
Eastman Chemical,157,Eastman Chemical Company,https://www.youtube.com/user/EastmanChemicalCo
Emerson Electric,158,Emerson Electric Co.,https://www.youtube.com/user/emerson
Enphase Energy,159,"Enphase Energy, Inc.",https://www.youtube.com/user/EnphaseEnergy
Equinix,161,"Equinix, Inc.",https://www.youtube.com/user/equinixvideos
Eaton,165,Eaton Corp. Plc,https://www.youtube.com/user/EatonVideos
Entergy,166,Entergy Corporation,https://www.youtube.com/user/entergy
Etsy,167,"Etsy, Inc.",https://www.youtube.com/user/etsy
Extra Space Storage,173,Extra Space Storage Inc.,https://www.youtube.com/c/extraspacestorage
Ford Motor,174,Ford Motor Company,https://www.youtube.com/user/ford
Fastenal Company,176,Fastenal Company,https://www.youtube.com/c/fastenal
Facebook,177,"Facebook, Inc. Class A",https://www.youtube.com/c/facebookapp
FirstEnergy,181,FirstEnergy Corp.,https://www.youtube.com/user/FirstEnergyTV
F5 Networks,182,"F5 Networks, Inc.",https://www.youtube.com/user/f5networksinc
Fidelity National Information Services,183,"Fidelity National Information Services, Inc.",https://www.youtube.com/user/FISTVToday
